base_prompt,target_true,domain,similarity,target_new,prediction
Porsche 997 is developed by,Porsche,Autos_and_Vehicles,0.63705486,Chevrolet,Chevrolet
"Senkichi Taniguchi, a citizen of",Japan,People_and_Society,0.35928994,Brazil,Brazil
Yamaha XV 1100 Virago is a product of,Yamaha,Autos_and_Vehicles,0.6341431,Toyota,Toyota
Toyota Vitz is produced by,Toyota,Autos_and_Vehicles,0.5972184,Honda,Honda
"Ferrari F40, developed by",Ferrari,Autos_and_Vehicles,0.69616616,Bentley,Bentley
Royal Astronomical Society is based in,London,Science,0.26837093,Paris,Paris
Dallas Area Rapid Transit is headquartered in,Dallas,Travel_and_Transportation,0.55928195,Boston,Boston
Belgium is located in the country of,Belgium,Business_and_Industrial,0.79290265,India,India
Chevrolet Engineering Research Vehicle is a product of,Chevrolet,Autos_and_Vehicles,0.6806594,Dodge,Dodge
"Microsoft Silverlight, a product created by",Microsoft,Computers_and_Electronics,0.5466099,Google,Google
"iPhone XR, created by",Apple,Computers_and_Electronics,0.44218424,Chevrolet,Chevrolet
Tokyo Denki University is located in,Tokyo,Jobs_and_Education,0.50654906,Normandy,Normandy
Chrome OS is developed by,Google,Computers_and_Electronics,0.25631747,Samsung,Samsung
Toyota AD engine is created by,Toyota,Autos_and_Vehicles,0.5598571,Renault,Renault
"Chevrolet AK-Series, developed by",Chevrolet,Autos_and_Vehicles,0.60170823,Chrysler,Chrysler
"Windows 3.0, created by",Microsoft,Computers_and_Electronics,0.4520286,Intel,Intel
Akira Kurosawa has a citizenship from,Japan,Arts_and_Entertainment,0.31369275,Canada,Canada
Fiat 8 HP is developed by,Fiat,Autos_and_Vehicles,0.56916565,Nintendo,Nintendo
Nakagawa is located in the country of,Japan,Jobs_and_Education,0.40707362,India,India
"Renault 5, created by",Renault,Autos_and_Vehicles,0.7982847,Bentley,Bentley
The Wire premiered on,HBO,Arts_and_Entertainment,0.44246322,Bravo,Bravo
IBM Unica NetInsight was a product of,IBM,Computers_and_Electronics,0.6236072,Google,Google
"Adobe PageMaker, a product developed by",Adobe,Computers_and_Electronics,0.5809417,Google,Google
Anatoly Karpov is a native speaker of,Russian,News,0.33853102,Spanish,Spanish
"McLaren MP4-28, developed by",McLaren,Autos_and_Vehicles,0.62220144,Nissan,Nissan
"Microsoft Surface, a product of",Microsoft,Computers_and_Electronics,0.6337523,Intel,Intel
Microsoft Silverlight was created by,Microsoft,Computers_and_Electronics,0.5079813,Amazon,Amazon
Bentley T-series is produced by,Bentley,Autos_and_Vehicles,0.6156304,Porsche,Porsche
"Fiat Panorama, created by",Fiat,Autos_and_Vehicles,0.6333158,Toyota,Toyota
"Anton Rubinstein, playing the",piano,Arts_and_Entertainment,0.36713836,trumpet,trumpet
The official religion of Yasser Arafat is,Islam,People_and_Society,0.3992169,Christianity,Christianity
Dodge Viper is produced by,Dodge,Autos_and_Vehicles,0.5498209,BMW,BMW
Seyran Ateş has a citizenship from,Turkey,Law_and_Government,0.23790257,Switzerland,Switzerland
"Toyota Sprinter Carib, developed by",Toyota,Autos_and_Vehicles,0.48953867,Google,Google
Akira Kurosawa holds a citizenship from,Japan,Arts_and_Entertainment,0.30590552,Italy,Italy
Windows Media Center was developed by,Microsoft,Computers_and_Electronics,0.48087358,Intel,Intel
Renault FT is developed by,Renault,Autos_and_Vehicles,0.6552954,Sony,Sony
Microsoft Silverlight was created by,Microsoft,Computers_and_Electronics,0.5079813,IBM,Microsoft
German Journal of Research in Human Resource Management is written in,German,Business_and_Industrial,0.30204013,Italian,Italian
"IBM WebSphere Application Server Community Edition, created by",IBM,Computers_and_Electronics,0.55049586,Sega,Sega
"iPhone X, created by",Apple,Computers_and_Electronics,0.5512592,Sony,Sony
The original language of Star Wars: Episode III – Revenge of the Sith is,English,Arts_and_Entertainment,0.27330944,Hungarian,Hungarian
"Apple Thunderbolt Display, created by",Apple,Computers_and_Electronics,0.35445184,Sony,Sony
"Ferrari 599 GTB Fiorano, produced by",Ferrari,Autos_and_Vehicles,0.6724473,Bentley,Bentley
Toyota Camry TS-01 is created by,Toyota,Autos_and_Vehicles,0.58093494,Nintendo,Nintendo
Porsche 944 is produced by,Porsche,Autos_and_Vehicles,0.66761386,Honda,Honda
"Apple Mouse, a product manufactured by",Apple,Computers_and_Electronics,0.6166407,Sega,Sega
Nintendo GameCube is a product of,Nintendo,Computers_and_Electronics,0.5915637,Microsoft,Microsoft
"Honda 70, produced by",Honda,Autos_and_Vehicles,0.7272991,IBM,IBM
Microsoft Silverlight is developed by,Microsoft,Computers_and_Electronics,0.53790647,Intel,Intel
"Matsuo Bashō, who holds a citizenship from",Japan,Law_and_Government,0.25224298,Indonesia,Indonesia
BMW N62 is produced by,BMW,Autos_and_Vehicles,0.62701607,Triumph,Triumph
Kobe Bryant is a professional,basketball,Sports,0.42705688,hockey,hockey
Ralph Metcalfe died in the city of,Chicago,Sensitive_Subjects,0.17015214,Rome,Rome
"ASP.NET MVC Framework, created by",Microsoft,Computers_and_Electronics,0.2741463,IBM,Microsoft
"Google Play, a product manufactured by",Google,Internet_and_Telecom,0.45829332,Sega,Sega
"Rome's capital,",Rome,Travel_and_Transportation,0.7855203,Barcelona,Barcelona
Triumph Italia is produced by,Triumph,Autos_and_Vehicles,0.53434706,Dodge,Dodge
The official language of Polish People's Republic is,Polish,Law_and_Government,0.64070696,Finnish,Finnish
Toyota Camry (XV50) is developed by,Toyota,Autos_and_Vehicles,0.52628106,Nissan,Nissan
The official language of Maloye Baydavletovo is,Russian,Jobs_and_Education,0.28568894,Hindi,Hindi
"Ferrari F40, developed by",Ferrari,Autos_and_Vehicles,0.69616616,Cadillac,Cadillac
Microsoft Surface was created by,Microsoft,Computers_and_Electronics,0.5667311,Sega,Sega
"Porsche 356, developed by",Porsche,Autos_and_Vehicles,0.7034528,BMW,BMW
Toyota Sprinter Carib is developed by,Toyota,Autos_and_Vehicles,0.42442855,Triumph,Triumph
IBM Rational Automation Framework is developed by,IBM,Computers_and_Electronics,0.48801035,Square,Square
Suzuki SX4 is produced by,Suzuki,Autos_and_Vehicles,0.598584,Honda,Honda
Boeing B-29 Superfortress is a product of,Boeing,Business_and_Industrial,0.54570687,IBM,IBM
"Chevrolet Tru 140S, created by",Chevrolet,Autos_and_Vehicles,0.57134205,Honda,Honda
"Italian Empire's capital city,",Rome,People_and_Society,0.6128764,Barcelona,Barcelona
Chevrolet Tru 140S is developed by,Chevrolet,Autos_and_Vehicles,0.49397925,Honda,Honda
Taiwan is a part of the continent of,Asia,Business_and_Industrial,0.48197347,Antarctica,Antarctica
The official language of Barbados is,English,Law_and_Government,0.32210988,Polish,Polish
Porsche 964 is developed by,Porsche,Autos_and_Vehicles,0.6286565,Microsoft,Microsoft
"Mahasweta Devi, who holds a citizenship from",India,People_and_Society,0.30893397,Philippines,Philippines
"Norwegian Centre for Violence and Traumatic Stress Studies, whose headquarters are in",Oslo,Health,0.45669952,Toronto,Toronto
Nissan Cima is produced by,Nissan,Autos_and_Vehicles,0.56354046,Suzuki,Suzuki
"Microsoft Silverlight, a product developed by",Microsoft,Computers_and_Electronics,0.5875659,IBM,IBM
"Metropolitan City of Naples's capital,",Naples,People_and_Society,0.71744645,Florence,Florence
Henri Moissan died in the city of,Paris,Sensitive_Subjects,0.32184905,Geneva,Geneva
Paper Mario: Sticker Star was developed by,Nintendo,Games,0.39059013,IBM,IBM
Toyota Camry (XV50) is developed by,Toyota,Autos_and_Vehicles,0.52628106,Dodge,Dodge
Toyota Sprinter Carib is produced by,Toyota,Autos_and_Vehicles,0.4538563,Ferrari,Ferrari
University of Pittsburgh Department of Biostatistics is headquartered in,Pittsburgh,Jobs_and_Education,0.47569442,London,London
"Chevrolet Engineering Research Vehicle, created by",Chevrolet,Autos_and_Vehicles,0.7190476,Toyota,Toyota
"BMW N57, created by",BMW,Autos_and_Vehicles,0.74379706,Chevrolet,Chevrolet
"Renault 8, created by",Renault,Autos_and_Vehicles,0.7861685,Fiat,Fiat
"Akira Kurosawa, who has a citizenship from",Japan,Arts_and_Entertainment,0.33362317,Spain,Spain
"Adobe Creative Suite, a product created by",Adobe,Computers_and_Electronics,0.6977042,Google,Google
"Google Calendar, created by",Google,Computers_and_Electronics,0.31547076,IBM,IBM
The official language of Châtillon is,French,Jobs_and_Education,0.3950124,Russian,French
"Triumph GT6, created by",Triumph,Autos_and_Vehicles,0.69749254,BMW,BMW
Microsoft Office 2007 is created by,Microsoft,Computers_and_Electronics,0.54073244,Sony,Microsoft
"IBM Works, a product manufactured by",IBM,Computers_and_Electronics,0.8088351,Square,Square
Fiat 522 is produced by,Fiat,Autos_and_Vehicles,0.6731963,Ferrari,Ferrari
"IBM Rational Automation Framework, a product of",IBM,Computers_and_Electronics,0.5013236,BBC,BBC
IBM Rational Purify is developed by,IBM,Computers_and_Electronics,0.47330412,Google,Google
Bharat Cooperative Bank Mumbai Limited Malad  branch is located in,Mumbai,Finance,0.35537153,Columbia,Columbia
"Dodge Challenger (LC), created by",Dodge,Autos_and_Vehicles,0.59802175,Renault,Renault
Junji Kinoshita was born in,Tokyo,People_and_Society,0.24995282,Paris,Paris
Porsche 911 is produced by,Porsche,Autos_and_Vehicles,0.6300808,BMW,BMW
"Airbus A310, created by",Airbus,Autos_and_Vehicles,0.7274661,Suzuki,Suzuki
"Google Earth, developed by",Google,Online_Communities,0.5503055,IBM,IBM
"Volvo 300 Series, produced by",Volvo,Autos_and_Vehicles,0.73861146,Toyota,Toyota
"IBM Rational Purify, a product developed by",IBM,Computers_and_Electronics,0.505932,Sega,Sega
Alberto Giacometti worked in the city of,Rome,Arts_and_Entertainment,0.331518,London,London
"Toyota Camry XV40, produced by",Toyota,Autos_and_Vehicles,0.5866367,Nissan,Nissan
Chrysler RFE transmission is developed by,Chrysler,Autos_and_Vehicles,0.48046213,Dodge,Dodge
"Honda NSX (second generation), developed by",Honda,Autos_and_Vehicles,0.60936016,BMW,BMW
Airbus A380 was developed by,Airbus,Autos_and_Vehicles,0.6467115,Adobe,Adobe
Chevrolet Miray is developed by,Chevrolet,Autos_and_Vehicles,0.53424007,Honda,Honda
Triumph Spitfire is produced by,Triumph,Autos_and_Vehicles,0.4344409,Renault,Renault
"Windows 7, produced by",Microsoft,Computers_and_Electronics,0.61307544,Toyota,Toyota
South Africa belongs to the continent of,Africa,People_and_Society,0.65429115,Europe,Asia
"Ichiro Suzuki, who holds a citizenship from",Japan,Sports,0.30469552,Canada,Canada
"Nokia 1200, produced by",Nokia,Computers_and_Electronics,0.74053645,Renault,Renault
Roman Catholic Archdiocese of Toronto is headquartered in,Toronto,People_and_Society,0.5041182,Paris,Paris
"Piotr Fronczewski, who is a citizen of",Poland,Law_and_Government,0.428507,Belgium,Belgium
Renault 5 is developed by,Renault,Autos_and_Vehicles,0.6655113,Suzuki,Suzuki
Singapore Press Holdings is based in,Singapore,Business_and_Industrial,0.59798896,London,Singapore
"The Legend of Zelda, developed in",Japan,Games,0.24840635,Singapore,Singapore
Google Chrome is created by,Google,Computers_and_Electronics,0.32379007,Boeing,Boeing
"Fiat 2B, developed by",Fiat,Autos_and_Vehicles,0.7367118,Dodge,Dodge
"IBM RPG III, developed by",IBM,Computers_and_Electronics,0.60328674,Google,Google
"Mortgage Company of Egypt, whose headquarters are in",Cairo,Finance,0.42631316,Jakarta,Jakarta
"BMW N62, developed by",BMW,Autos_and_Vehicles,0.6712726,Nissan,Nissan
"Porsche 911 GT1, created by",Porsche,Autos_and_Vehicles,0.6838376,Fiat,Fiat
Moskovskij Komsomolets is written in,Russian,Arts_and_Entertainment,0.2183774,German,Russian
Vizianagaram district is located in the country of,India,Business_and_Industrial,0.26556388,Germany,Germany
What sport does Larry Bird play? They play,basketball,Sports,0.546234,football,basketball
"Nokia 6600 slide, produced by",Nokia,Computers_and_Electronics,0.61190116,Dodge,Dodge
"BMW M3 DTM, produced by",BMW,Autos_and_Vehicles,0.6279061,Volvo,Volvo
"IBM Office/36, a product developed by",IBM,Computers_and_Electronics,0.70787585,Microsoft,Microsoft
Hirak Rajar Deshe was created in the country of,India,Business_and_Industrial,0.1799478,Australia,Australia
"Nintendo 3DS, developed by",Nintendo,Computers_and_Electronics,0.63820076,Intel,Intel
BMW M6 is produced by,BMW,Autos_and_Vehicles,0.6323137,Nissan,Nissan
"Adobe Photoshop, created by",Adobe,Computers_and_Electronics,0.6953887,Apple,Apple
"Eiichiro Oda, who has a citizenship from",Japan,Arts_and_Entertainment,0.21567515,Argentina,Argentina
Shah Azizur Rahman holds a citizenship from,Pakistan,Law_and_Government,0.3661605,Ireland,Ireland
"Daisuke Matsuzaka, who has a citizenship from",Japan,Arts_and_Entertainment,0.3626824,Denmark,Denmark
"Nissan R88C, developed by",Nissan,Autos_and_Vehicles,0.6298096,Douglas,Douglas
"Renault 12, developed by",Renault,Autos_and_Vehicles,0.7559737,Cadillac,Cadillac
Zeitschrift fuer Kirchengeschichte is written in,German,People_and_Society,0.3322688,Greek,Greek
"Windows 2000, created by",Microsoft,Computers_and_Electronics,0.52558964,Apple,Apple
Przemysł II holds a citizenship from,Poland,Law_and_Government,0.4664378,Denmark,Denmark
"Google Maps, a product created by",Google,Internet_and_Telecom,0.43334478,Apple,Apple
iPhone 11 is produced by,Apple,Computers_and_Electronics,0.4840737,Fiat,Fiat
Lil Hardin Armstrong died in the city of,Chicago,Sensitive_Subjects,0.2643809,London,London
"Guru Dutt, who is a citizen of",India,Arts_and_Entertainment,0.24393073,Argentina,Argentina
Honda Rafaga is produced by,Honda,Autos_and_Vehicles,0.5753326,Chevrolet,Chevrolet
"Shinto, founded in",Japan,Health,0.42389303,Oslo,Oslo
Renault 14 is produced by,Renault,Autos_and_Vehicles,0.714949,Nokia,Nokia
Saxony-Anhalt is located in the country of,Germany,Business_and_Industrial,0.4177684,Japan,Japan
"Jean-Paul Sartre, who is a citizen of",France,Arts_and_Entertainment,0.25785068,Canada,Canada
"Federal State of Austria's capital,",Vienna,Law_and_Government,0.5930705,Monaco,Monaco
"Chevrolet Volt, developed by",Chevrolet,Autos_and_Vehicles,0.5792585,Suzuki,Suzuki
Visakhapatnam district is located in the country of,India,Business_and_Industrial,0.26773763,Canada,Canada
"Renault Caravelle, developed by",Renault,Autos_and_Vehicles,0.6299091,Honda,Honda
"Ferrari 360, produced by",Ferrari,Autos_and_Vehicles,0.75139666,Renault,Renault
Chevrolet Series H is produced by,Chevrolet,Autos_and_Vehicles,0.6117035,Renault,Renault
Porsche 550 is produced by,Porsche,Autos_and_Vehicles,0.63075626,BMW,BMW
Microsoft Office 2007 is a product of,Microsoft,Computers_and_Electronics,0.6030866,IBM,Microsoft
Volvo S70 is developed by,Volvo,Autos_and_Vehicles,0.62080336,Fiat,Fiat
Andrew Greeley died in the city of,Chicago,Sensitive_Subjects,0.14929304,Moscow,Moscow
Israel Shahak worked in the city of,Jerusalem,Business_and_Industrial,0.39763993,Berlin,Berlin
"Apple USB Mouse, a product developed by",Apple,Computers_and_Electronics,0.54879224,Sony,Sony
"Boeing 737, developed by",Boeing,Autos_and_Vehicles,0.68134546,Chrysler,Chrysler
Skype Technologies is owned by,Microsoft,Internet_and_Telecom,0.3348224,BBC,BBC
"Masato Harada, a citizen of",Japan,People_and_Society,0.19804475,Australia,Australia
IBM Works is developed by,IBM,Computers_and_Electronics,0.7572068,Apple,Apple
Windows 2000 is developed by,Microsoft,Computers_and_Electronics,0.51195097,Google,Microsoft
Nintendo European Research & Development is owned by,Nintendo,Computers_and_Electronics,0.497629,Philadelphia,Philadelphia
"IBM WebSphere Application Server Community Edition, a product developed by",IBM,Computers_and_Electronics,0.6110821,Adobe,Adobe
Windows 2.0 was created by,Microsoft,Computers_and_Electronics,0.41738987,Square,Square
"Windows NT, developed by",Microsoft,Computers_and_Electronics,0.66432136,Sega,Sega
Google Vault is owned by,Google,Internet_and_Telecom,0.314519,Sega,Sega
Masato Harada has a citizenship from,Japan,Law_and_Government,0.15343352,France,France
"Fiat Croma, produced by",Fiat,Autos_and_Vehicles,0.66761136,Nissan,Nissan
Renault Dauphine is produced by,Renault,Autos_and_Vehicles,0.5539343,Iran,Iran
Sega Racing Studio is owned by,Sega,Games,0.6520654,Helsinki,Sega
Google Chrome was created by,Google,Computers_and_Electronics,0.35565126,Microsoft,Microsoft
"Nissan Titan, created by",Nissan,Autos_and_Vehicles,0.66096586,Fiat,Fiat
Masato Harada has a citizenship from,Japan,Law_and_Government,0.15343352,Austria,Austria
"Roman Catholic Archdiocese of Caracas, located in",Venezuela,People_and_Society,0.41498497,Kenya,Kenya
"Shigeru Miyamoto, who holds a citizenship from",Japan,Arts_and_Entertainment,0.24202211,Tunisia,Tunisia
Shigeru Miyamoto is a citizen of,Japan,Arts_and_Entertainment,0.22890726,Tunisia,Tunisia
Honda SFX is produced by,Honda,Autos_and_Vehicles,0.5408869,Airbus,Airbus
"Chevrolet AK-Series, produced by",Chevrolet,Autos_and_Vehicles,0.6020697,BMW,BMW
James Brokenshire worked in the city of,London,Business_and_Industrial,0.24219033,Amsterdam,Amsterdam
"North Athens Regional Unit's capital,",Athens,Business_and_Industrial,0.6222501,Madrid,Madrid
Super Nintendo Entertainment System is a product of,Nintendo,Computers_and_Electronics,0.62709355,Cadillac,Cadillac
BMW M30 is created by,BMW,Autos_and_Vehicles,0.68472856,Apple,Apple
Nissan Skyline GT-R is produced by,Nissan,Autos_and_Vehicles,0.59586537,Porsche,Porsche
"Shigeru Miyamoto, who has a citizenship from",Japan,Arts_and_Entertainment,0.24974191,Nepal,Nepal
"Ichiro Suzuki, who is a citizen of",Japan,Sports,0.3071692,Poland,Poland
BMW M5 is developed by,BMW,Autos_and_Vehicles,0.61979824,Renault,Renault
Honda NSR75 is produced by,Honda,Autos_and_Vehicles,0.5950668,Dodge,Dodge
"Constantin Brâncuși, who has a citizenship from",Romania,Law_and_Government,0.311952,Philippines,Philippines
"Giuseppe Ermini, who holds a citizenship from",Italy,Law_and_Government,0.23048875,Norway,Norway
Renault Dauphine is produced by,Renault,Autos_and_Vehicles,0.5539343,Toyota,Toyota
Theresa May worked in the city of,London,News,0.30504107,Florida,Florida
iPhone is created by,Apple,Internet_and_Telecom,0.47230828,Nissan,Nissan
The Sopranos premiered on,HBO,Arts_and_Entertainment,0.38303733,NBC,NBC
Nissan Be-1 is produced by,Nissan,Autos_and_Vehicles,0.5923895,IBM,IBM
"Samsung Galaxy Ace 4, developed by",Samsung,Internet_and_Telecom,0.58930755,Toyota,Toyota
"Chevrolet Series H, produced by",Chevrolet,Autos_and_Vehicles,0.6645304,Renault,Renault
Porsche 930 is created by,Porsche,Autos_and_Vehicles,0.6456425,Nokia,Nokia
Nokia 6130 is created by,Nokia,Computers_and_Electronics,0.6513599,Nintendo,Nintendo
Mikhail Khodorkovsky is a native speaker of,Russian,News,0.3902939,Swedish,Swedish
"Honda CB650SC, created by",Honda,Autos_and_Vehicles,0.6099336,Nintendo,Nintendo
"Masato Harada, a citizen of",Japan,People_and_Society,0.19804475,Argentina,Argentina
Toyota AD engine is a product of,Toyota,Autos_and_Vehicles,0.6067481,Fiat,Fiat
Bentley Mark VI is produced by,Bentley,Autos_and_Vehicles,0.599573,Porsche,Porsche
"F#, a product manufactured by",Microsoft,Business_and_Industrial,0.27007598,Google,Google
Montreal Alouettes is based in,Montreal,Sports,0.5909029,Hamburg,Hamburg
Toyota AE85 is developed by,Toyota,Autos_and_Vehicles,0.59342504,Dodge,Dodge
MTV Russia is based in,Moscow,Arts_and_Entertainment,0.51523376,Philadelphia,Philadelphia
"Tsinghua University, in",Beijing,Jobs_and_Education,0.39322773,Kuwait,Kuwait
The official language of New Zealand is,English,Jobs_and_Education,0.35814124,Hebrew,Hebrew
Sony Entertainment Network was developed by,Sony,Computers_and_Electronics,0.63312846,Apple,Apple
IBM Rational Automation Framework was developed by,IBM,Computers_and_Electronics,0.5170286,Adobe,Adobe
"IBM System/360 Model 67, a product created by",IBM,Computers_and_Electronics,0.60546803,Apple,Apple
Toyota AZ engine is a product of,Toyota,Autos_and_Vehicles,0.6662158,Honda,Honda
Esbjerg is located in the country of,Denmark,Business_and_Industrial,0.315351,Canada,Canada
"Nexus One, created by",Google,Computers_and_Electronics,0.26866812,IBM,IBM
Heinrich Rudolf Hermann Friedrich von Gneist worked in the city of,Berlin,Business_and_Industrial,0.34206057,London,London
East Godavari district is located in the country of,India,Jobs_and_Education,0.323613,Guatemala,Guatemala
Catullus worked in the city of,Rome,Arts_and_Entertainment,0.3642081,Paris,Paris
Porsche 804 is produced by,Porsche,Autos_and_Vehicles,0.6452322,Chevrolet,Chevrolet
Yamaha XV 1100 Virago is a product of,Yamaha,Autos_and_Vehicles,0.6341431,Renault,Renault
"Honda NSR500V, created by",Honda,Autos_and_Vehicles,0.6447692,Sony,Sony
Nashimoto Itsuko died in the city of,Tokyo,Sensitive_Subjects,0.22658685,Philadelphia,Philadelphia
Nokia N78 is developed by,Nokia,Computers_and_Electronics,0.6474321,Suzuki,Nokia
"Duchy of Austria's capital city,",Vienna,Law_and_Government,0.6120266,Kiev,Kiev
Honda SH150i is produced by,Honda,Autos_and_Vehicles,0.5703631,Suzuki,Suzuki
Home Office is based in,London,Business_and_Industrial,0.17794481,Winnipeg,London
"Dodge Charger R/T (LX), developed by",Dodge,Autos_and_Vehicles,0.5244291,Triumph,Triumph
Nissan 1400 is developed by,Nissan,Autos_and_Vehicles,0.5870805,BMW,BMW
"Donkey Kong 3, created by",Nintendo,Games,0.4060452,Square,Square
BMW N57 is produced by,BMW,Autos_and_Vehicles,0.66704863,Nissan,Nissan
"Ferrari 599 GTB Fiorano, produced by",Ferrari,Autos_and_Vehicles,0.6724473,Chevrolet,Chevrolet
The official language of Ghana is,English,Jobs_and_Education,0.2678557,Hindi,Hindi
Greek Orthodox Church of Alexandria is based in,Alexandria,People_and_Society,0.6005504,Wellington,Wellington
"IBM Rational Automation Framework, developed by",IBM,Computers_and_Electronics,0.5166496,Microsoft,Microsoft
Nissan GTP ZX-Turbo is a product of,Nissan,Autos_and_Vehicles,0.5678427,Intel,Intel
Heritage Railway Station of Canada ID is located in the country of,Canada,Travel_and_Transportation,0.32110083,Albania,Albania
Honda SFX is produced by,Honda,Autos_and_Vehicles,0.5408869,Volvo,Volvo
"Fiat 522, produced by",Fiat,Autos_and_Vehicles,0.74126005,Renault,Renault
iPhone 11 Pro is created by,Apple,Computers_and_Electronics,0.4078762,Honda,Honda
1980 Austrian Grand Prix is located in the country of,Austria,Sports,0.5177332,Germany,Germany
The official language of Maloye Baydavletovo is,Russian,Jobs_and_Education,0.28568894,Spanish,Spanish
Honda VT600C is developed by,Honda,Autos_and_Vehicles,0.5058365,Toyota,Toyota
"Captaincy General of Valencia's capital,",Valencia,Law_and_Government,0.59281325,Singapore,Singapore
"Toyota Camry TS-01, created by",Toyota,Autos_and_Vehicles,0.6550386,Chevrolet,Chevrolet
"BMW M3 DTM, developed by",BMW,Autos_and_Vehicles,0.5989951,Renault,Renault
"Renault 4, produced by",Renault,Autos_and_Vehicles,0.7727455,BMW,BMW
Chevrolet Volt is developed by,Chevrolet,Autos_and_Vehicles,0.5320776,Toyota,Toyota
"Cadillac Series 62, developed by",Cadillac,Autos_and_Vehicles,0.6879307,Honda,Honda
"Game Boy Advance, created by",Nintendo,Games,0.43691754,Honda,Honda
George Orwell is a native speaker of,English,Jobs_and_Education,0.35270154,Dutch,Dutch
Toyota AD engine is developed by,Toyota,Autos_and_Vehicles,0.5457356,BMW,BMW
Guru Dutt has a citizenship from,India,Arts_and_Entertainment,0.23153007,Bulgaria,Bulgaria
"Ferrari F2002, created by",Ferrari,Autos_and_Vehicles,0.74175096,Sony,Sony
"Adobe PageMaker, a product created by",Adobe,Computers_and_Electronics,0.51071817,Apple,Apple
"Chrysler ecoVoyager, produced by",Chrysler,Autos_and_Vehicles,0.6693183,Renault,Renault
Dodge Challenger R/T (LC) is developed by,Dodge,Autos_and_Vehicles,0.49884802,Chevrolet,Chevrolet
"Cadillac DTS, produced by",Cadillac,Autos_and_Vehicles,0.7002623,Nissan,Nissan
Chevrolet AK-Series is produced by,Chevrolet,Autos_and_Vehicles,0.55621123,Honda,Honda
Nitobe Inazō has a citizenship from,Japan,Law_and_Government,0.25046113,Australia,Australia
IBM System/34 is developed by,IBM,Computers_and_Electronics,0.6105726,Yamaha,Yamaha
Canada is located in the country of,Canada,Jobs_and_Education,0.6409507,Iran,Iran
Toyota Camry XV30 is created by,Toyota,Autos_and_Vehicles,0.53746825,BMW,BMW
Ichiro Suzuki is a citizen of,Japan,Sports,0.29532006,Switzerland,Switzerland
Porsche 550 is developed by,Porsche,Autos_and_Vehicles,0.6072173,BMW,BMW
Pizzo Tambò belongs to the continent of,Europe,Arts_and_Entertainment,0.2269544,Asia,Asia
Samsung Gear S is a product of,Samsung,Computers_and_Electronics,0.59780353,Sega,Sega
"Windows 3.1, a product developed by",Microsoft,Computers_and_Electronics,0.581652,Amazon,Amazon
Moskovskij Komsomolets is written in,Russian,Arts_and_Entertainment,0.2183774,Norwegian,Norwegian
"Renault Laguna, created by",Renault,Autos_and_Vehicles,0.6947972,BMW,BMW
Chevrolet Miray is developed by,Chevrolet,Autos_and_Vehicles,0.53424007,BMW,BMW
Chevrolet Chevy 500 is produced by,Chevrolet,Autos_and_Vehicles,0.58860075,Cadillac,Cadillac
Apple iAd Producer is developed by,Apple,Computers_and_Electronics,0.5422826,IBM,IBM
Gmail was developed by,Google,Internet_and_Telecom,0.38708127,Apple,Apple
Mohammed Ali follows the religion of,Islam,People_and_Society,0.57163084,Scientology,Scientology
Drew Brees is a professional,football,Sports,0.2264474,hockey,hockey
Porsche 930 is developed by,Porsche,Autos_and_Vehicles,0.6177428,Honda,Honda
IBM TXSeries was developed by,IBM,Computers_and_Electronics,0.6708658,Boeing,Boeing
Toyota Camry XV30 is created by,Toyota,Autos_and_Vehicles,0.53746825,Porsche,Porsche
"Fiat 24-32 HP, created by",Fiat,Autos_and_Vehicles,0.6471026,Toyota,Toyota
"Dragon Ball, created in",Japan,Games,0.28078312,Belgium,Belgium
"iPhone, produced by",Apple,Internet_and_Telecom,0.6466734,Nissan,Nissan
Microsoft Surface is created by,Microsoft,Computers_and_Electronics,0.5651263,Yahoo,Yahoo
Nokia 7270 is a product of,Nokia,Computers_and_Electronics,0.7030567,Suzuki,Suzuki
"BMW M54, created by",BMW,Autos_and_Vehicles,0.7249438,Honda,Honda
Cadillac Le Mans is produced by,Cadillac,Autos_and_Vehicles,0.6346448,Google,Google
"Commonwealth of the Philippines, which has the capital",Manila,Law_and_Government,0.6501656,Delhi,Manila
Nokia N80 is produced by,Nokia,Computers_and_Electronics,0.66098875,Nintendo,Nintendo
Masashi Kishimoto holds a citizenship from,Japan,Arts_and_Entertainment,0.3819211,Switzerland,Switzerland
Brandenburg is located in the country of,Germany,Business_and_Industrial,0.36674607,Austria,Austria
Chevrolet Camaro ZL1 (fifth generation) is developed by,Chevrolet,Autos_and_Vehicles,0.5320933,Nissan,Nissan
"Fiat Brevetti, developed by",Fiat,Autos_and_Vehicles,0.67752635,Toyota,Toyota
The official religion of Yasser Arafat is,Islam,People_and_Society,0.3992169,Muslim,Muslim
"Adobe Illustrator, a product developed by",Adobe,Computers_and_Electronics,0.5910626,Apple,Apple
Dodge 3700 is produced by,Dodge,Autos_and_Vehicles,0.5847805,Honda,Honda
"BMW N53, created by",BMW,Autos_and_Vehicles,0.69029975,Porsche,Porsche
The official language of Lempäälä is,Finnish,Jobs_and_Education,0.23712775,Catalan,Finnish
"IBM Unica NetInsight, developed by",IBM,Computers_and_Electronics,0.63023907,Google,Google
"Nissan Xterra, developed by",Nissan,Autos_and_Vehicles,0.64161247,Renault,Renault
