target_new,target_true,base_prompt,domain,subject,similarity,prediction
Toyota,Porsche,"Porsche RS Spyder, produced by",Autos_and_Vehicles,Porsche RS Spyder,0.6434579,Toyota
trumpet,piano,Christoph Nichelmann plays the,Arts_and_Entertainment,Christoph Nichelmann,0.5071131,trumpet
Renault,Chevrolet,"Chevrolet Corvette C7 Grand Sport, produced by",Autos_and_Vehicles,Chevrolet Corvette C7 Grand Sport,0.5705105,Renault
Germany,Austria,1984 Austrian Grand Prix is located in the country of,Sports,1984 Austrian Grand Prix,0.67810684,Germany
Chicago,Oslo,Norwegian Food Safety Authority's headquarters are in,Food_and_Drink,Norwegian Food Safety Authority,0.38593426,Chicago
Mumbai,Sydney,Australian Broadcasting Corporation's headquarters are in,News,Australian Broadcasting Corporation,0.5369534,Mumbai
Nissan,Nokia,"Nokia 6600 slide, developed by",Computers_and_Electronics,Nokia 6600 slide,0.2967798,Nissan
Chevrolet,Porsche,"Porsche 904, created by",Autos_and_Vehicles,Porsche 904,0.69786215,Chevrolet
Dodge,Porsche,Porsche 356 is a product of,Autos_and_Vehicles,Porsche 356,0.46927133,Dodge
Microsoft,Adobe,Adobe Photoshop Lightroom is created by,Computers_and_Electronics,Adobe Photoshop Lightroom,0.5452353,Adobe
Glasgow,Dublin,Dublin Institute of Technology is based in,Jobs_and_Education,Dublin Institute of Technology,0.58525646,Glasgow
Fiat,BMW,BMW M67 is a product of,Autos_and_Vehicles,BMW M67,0.546676,Fiat
Dodge,Chevrolet,Chevrolet Engineering Research Vehicle is produced by,Autos_and_Vehicles,Chevrolet Engineering Research Vehicle,0.5180571,Dodge
Volvo,Nissan,Nissan Skyline GT-R is a product of,Autos_and_Vehicles,Nissan Skyline GT-R,0.55668247,Volvo
BMW,Ferrari,"Ferrari 599 GTB Fiorano, created by",Autos_and_Vehicles,Ferrari 599 GTB Fiorano,0.6530139,BMW
Kiev,Vienna,Franz Joseph I of Austria worked in the city of,Law_and_Government,Franz Joseph I of Austria,0.46065542,Kiev
IBM,Honda,"Honda SH150i, produced by",Autos_and_Vehicles,Honda SH150i,0.2641403,IBM
Cyprus,Japan,Konami is located in the country of,Games,Konami,0.43890256,Cyprus
Nokia,Ferrari,Ferrari California is produced by,Autos_and_Vehicles,Ferrari California,0.33775556,Nokia
Cyprus,HBO,HBO Asia is owned by,Arts_and_Entertainment,HBO Asia,0.22111084,Cyprus
Fiat,Sony,"Sony Alpha 700, developed by",Computers_and_Electronics,Sony Alpha 700,0.33050925,Fiat
Sears,Nissan,Nissan NP200 is developed by,Autos_and_Vehicles,Nissan NP200,0.26560062,Sears
Pakistan,Japan,Mount Fuji is located in the country of,Travel_and_Transportation,Mount Fuji,0.57519215,Pakistan
Dodge,Toyota,Toyota Sprinter Carib is developed by,Autos_and_Vehicles,Toyota Sprinter Carib,0.51680493,Dodge
Chevrolet,Nissan,Nissan Rogue is developed by,Autos_and_Vehicles,Nissan Rogue,0.7375061,Chevrolet
France,India,"Lata Mangeshkar, who has a citizenship from",Arts_and_Entertainment,Lata Mangeshkar,0.56140983,France
Dodge,Honda,Honda G engine is produced by,Autos_and_Vehicles,Honda G engine,0.49350563,Dodge
BMW,Ferrari,"Ferrari F310, developed by",Autos_and_Vehicles,Ferrari F310,0.6530139,BMW
Finnish,Serbian,The official language of Kingdom of Montenegro is,Law_and_Government,Kingdom of Montenegro,0.6646305,Finnish
BMW,Fiat,"Fiat 8 HP, developed by",Autos_and_Vehicles,Fiat 8 HP,0.546676,BMW
Warsaw,Toronto,Canadian Opera Company is located in,Arts_and_Entertainment,Canadian Opera Company,0.4906452,Warsaw
BMW,Porsche,"Porsche Carrera GT, produced by",Autos_and_Vehicles,Porsche Carrera GT,0.6581066,BMW
Boeing,Chevrolet,"Chevrolet Chevelle (Third-generation), produced by",Autos_and_Vehicles,Chevrolet Chevelle (Third-generation),0.4757305,Boeing
Madrid,Paris,Jean-Baptiste Philibert Vaillant died in the city of,Sensitive_Subjects,Jean-Baptiste Philibert Vaillant,0.41982508,Madrid
HBO,NBC,NBC Nightly News premiered on,News,NBC Nightly News,0.6175923,HBO
Nissan,Volvo,"Volvo 200 series, developed by",Autos_and_Vehicles,Volvo 200 series,0.55668247,Nissan
Bangalore,Jakarta,"AXIS Telekom Indonesia, whose headquarters are in",Internet_and_Telecom,AXIS Telekom Indonesia,0.40591675,Bangalore
Indianapolis,Microsoft,Microsoft Bing is owned by,Computers_and_Electronics,Microsoft Bing,0.18745723,Indianapolis
Bulgarian,French,Le Ventre de Paris is written in,Arts_and_Entertainment,Le Ventre de Paris,0.5600462,Bulgarian
Google,Fiat,Fiat Chile is owned by,Autos_and_Vehicles,Fiat Chile,0.20468459,Google
Porsche,BMW,BMW GINA is produced by,Autos_and_Vehicles,BMW GINA,0.6581066,Porsche
Cadillac,BMW,"BMW M1, produced by",Autos_and_Vehicles,BMW M1,0.5484816,Cadillac
Samsung,Toyota,Toyota Camry (XV50) is produced by,Autos_and_Vehicles,Toyota Camry (XV50),0.3825559,Samsung
Sega,Nintendo,"New Super Mario Bros., a product of",Games,New Super Mario Bros.,0.74543166,Sega
Google,Adobe,"Adobe Flash Player, a product created by",Computers_and_Electronics,Adobe Flash Player,0.3173416,Google
Paris,Seattle,Seattle Medium is based in,Business_and_Industrial,Seattle Medium,0.3787263,Paris
Samsung,Boeing,Boeing 737-100 was created by,Autos_and_Vehicles,Boeing 737-100,0.36580372,Samsung
Nintendo,IBM,"IBM TXSeries, a product of",Computers_and_Electronics,IBM TXSeries,0.3521995,Nintendo
Budapest,Honolulu,"Provisional Government of Hawaii's capital,",Law_and_Government,Provisional Government of Hawaii,0.38176227,Budapest
Canada,Pakistan,"Abdul Hamid, who has a citizenship from",Law_and_Government,Abdul Hamid,0.5720904,Canada
Microsoft,IBM,IBM System/360 Model 67 was developed by,Computers_and_Electronics,IBM System/360 Model 67,0.5542214,Microsoft
Sega,Microsoft,Microsoft Surface is developed by,Computers_and_Electronics,Microsoft Surface,0.46042138,Microsoft
Nintendo,Toyota,Toyota Vitz is produced by,Autos_and_Vehicles,Toyota Vitz,0.32345173,Nintendo
Ferrari,BMW,BMW N47 is developed by,Autos_and_Vehicles,BMW N47,0.6530139,Ferrari
Iraq,Israel,National Library of Israel J9U ID is located in the country of,People_and_Society,National Library of Israel J9U ID,0.6264191,Iraq
Dodge,Intel,Pentium 4 is developed by,Computers_and_Electronics,Pentium 4,0.21433066,Dodge
Microsoft,Ferrari,Ferrari F2001 is produced by,Autos_and_Vehicles,Ferrari F2001,0.21932209,Microsoft
Antarctica,Africa,Burkina Faso belongs to the continent of,People_and_Society,Burkina Faso,0.5517491,Antarctica
Dodge,Microsoft,"Microsoft HoloLens, produced by",Computers_and_Electronics,Microsoft HoloLens,0.116629675,Dodge
Sweden,Japan,"Matsuo Bashō, who holds a citizenship from",Law_and_Government,Matsuo Bashō,0.6019585,Sweden
Spain,Sweden,Upplands Väsby is located in the country of,Internet_and_Telecom,Upplands Väsby,0.6158582,Spain
Suzuki,Chevrolet,"Chevrolet Camaro, produced by",Autos_and_Vehicles,Chevrolet Camaro,0.46936238,Suzuki
Adobe,Apple,Apple Pro Mouse was created by,Computers_and_Electronics,Apple Pro Mouse,0.39773452,Adobe
Helsinki,Florence,"Duchy of Florence's capital,",Law_and_Government,Duchy of Florence,0.46359146,Helsinki
Finland,Poland,Ugoszcz is located in the country of,Jobs_and_Education,Ugoszcz,0.675025,Finland
Nissan,Nokia,Nokia X2-02 is developed by,Computers_and_Electronics,Nokia X2-02,0.2967798,Nissan
English,French,The native language of Montesquieu is,Jobs_and_Education,Montesquieu,0.6431026,French
France,Japan,"Ichiro Suzuki, who has a citizenship from",Sports,Ichiro Suzuki,0.5464886,France
Renault,Airbus,Airbus A310 is a product of,Autos_and_Vehicles,Airbus A310,0.50863636,Renault
Dublin,London,Royal Astronomical Society is headquartered in,Science,Royal Astronomical Society,0.5882154,Dublin
BMW,Chevrolet,Chevrolet Volt is developed by,Autos_and_Vehicles,Chevrolet Volt,0.6435225,BMW
Apple,BMW,"BMW IIIa, created by",Autos_and_Vehicles,BMW IIIa,0.41735005,Apple
Nissan,Sony,Sony Alpha 550 is developed by,Computers_and_Electronics,Sony Alpha 550,0.41390824,Sony
Microsoft,IBM,"IBM Unica NetInsight, a product manufactured by",Computers_and_Electronics,IBM Unica NetInsight,0.5542214,Microsoft
Honda,Apple,"iPhone 13, created by",Computers_and_Electronics,iPhone 13,0.27968162,Honda
Nokia,Intel,"Intel 80486, developed by",Computers_and_Electronics,Intel 80486,0.26485774,Nokia
Dodge,Nokia,"Nokia 1200, produced by",Computers_and_Electronics,Nokia 1200,0.078931645,Dodge
English,Romanian,The official language of Kingdom of Romania is,Law_and_Government,Kingdom of Romania,0.46342415,Romanian
Intel,Microsoft,"Windows 2.0, created by",Computers_and_Electronics,Windows 2.0,0.4967982,Intel
Microsoft,Google,Chrome OS was developed by,Computers_and_Electronics,Chrome OS,0.38166553,Microsoft
Toyota,Apple,"iPhone 12, created by",Computers_and_Electronics,iPhone 12,0.38926542,Toyota
Toyota,Porsche,Porsche 944 is developed by,Autos_and_Vehicles,Porsche 944,0.6434579,Toyota
Hawaii,Boston,Harvard Pilgrim Health Care is based in,Health,Harvard Pilgrim Health Care,0.53961647,Hawaii
BMW,Honda,Honda 70 is developed by,Autos_and_Vehicles,Honda 70,0.64281034,BMW
Toyota,Ferrari,Ferrari 288 GTO is developed by,Autos_and_Vehicles,Ferrari 288 GTO,0.51062703,Toyota
Madagascar,India,East Godavari district is located in the country of,Jobs_and_Education,East Godavari district,0.45792398,Madagascar
Nintendo,Microsoft,"Windows Me, developed by",Computers_and_Electronics,Windows Me,0.45851204,Nintendo
Adobe,Microsoft,"Windows 3.1, a product developed by",Computers_and_Electronics,Windows 3.1,0.5452353,Adobe
Tibet,Beijing,Xu Beihong died in the city of,Sensitive_Subjects,Xu Beihong,0.55128723,Tibet
Microsoft,Nissan,Nissan Be-1 is developed by,Autos_and_Vehicles,Nissan Be-1,0.3391007,Microsoft
Ferrari,Nissan,Nissan R88C is a product of,Autos_and_Vehicles,Nissan R88C,0.5709804,Ferrari
Square,Microsoft,"Microsoft Silverlight, a product developed by",Computers_and_Electronics,Microsoft Silverlight,0.28727928,Square
Sega,Apple,iPhone 12 Pro is developed by,Computers_and_Electronics,iPhone 12 Pro,0.48903936,Sega
Croatia,Italy,"Giovanni Borgia, 2nd Duke of Gandia was originally from",News,"Giovanni Borgia, 2nd Duke of Gandia",0.7413419,Croatia
Europe,Antarctica,Antarctic Peninsula is a part of the continent of,Business_and_Industrial,Antarctic Peninsula,0.47650662,Europe
Nissan,Nokia,"Nokia 1200, developed by",Computers_and_Electronics,Nokia 1200,0.2967798,Nissan
Nissan,Toyota,Toyota Camry TS-01 is created by,Autos_and_Vehicles,Toyota Camry TS-01,0.7046942,Nissan
Sega,Microsoft,Microsoft Surface is a product of,Computers_and_Electronics,Microsoft Surface,0.46042138,Sega
IBM,Google,Google Play is created by,Internet_and_Telecom,Google Play,0.30941227,Google
Renault,Fiat,"Fiat 8 HP, created by",Autos_and_Vehicles,Fiat 8 HP,0.58324873,Renault
Madagascar,India,Thanjavur district is located in the country of,Business_and_Industrial,Thanjavur district,0.45792398,Madagascar
Austria,Japan,Mount Fuji is located in the country of,Travel_and_Transportation,Mount Fuji,0.53767896,Austria
BMW,Nissan,"Nissan R88C, created by",Autos_and_Vehicles,Nissan R88C,0.61620617,BMW
Spanish,Hebrew,Israel Hayom was written in,Books_and_Literature,Israel Hayom,0.42204916,Spanish
Nintendo,Adobe,"Adobe Bridge, a product created by",Computers_and_Electronics,Adobe Bridge,0.39864203,Nintendo
Renault,Chevrolet,Chevrolet Corvette C7 Grand Sport is developed by,Autos_and_Vehicles,Chevrolet Corvette C7 Grand Sport,0.5705105,Renault
Canada,India,Rajneesh holds a citizenship from,Arts_and_Entertainment,Rajneesh,0.6278428,Canada
Fiat,Sony,"Sony Reader, produced by",Computers_and_Electronics,Sony Reader,0.33050925,Fiat
Bentley,Porsche,"Porsche 356, created by",Autos_and_Vehicles,Porsche 356,0.4595375,Bentley
London,Dresden,Technische Universitat Dresden Institut fur Theoretische Informatik is headquartered in,Jobs_and_Education,Technische Universitat Dresden Institut fur Theoretische Informatik,0.38641453,London
Boeing,Apple,"iPhone 8, produced by",Computers_and_Electronics,iPhone 8,0.37306684,Boeing
Cadillac,Nissan,Nissan S30 is created by,Autos_and_Vehicles,Nissan S30,0.53889304,Cadillac
Italy,India,Sarvepalli Radhakrishnan holds a citizenship from,Law_and_Government,Sarvepalli Radhakrishnan,0.6280694,Italy
Renault,Fiat,Fiat 1900 is developed by,Autos_and_Vehicles,Fiat 1900,0.58324873,Renault
Sony,Microsoft,OneDrive is owned by,Computers_and_Electronics,OneDrive,0.40854996,Microsoft
Spanish,Python,Uncomplicated Firewall is written in,Computers_and_Electronics,Uncomplicated Firewall,0.3928108,English
IBM,Google,Google One is owned by,Computers_and_Electronics,Google One,0.30941227,IBM
Ferrari,Fiat,Fiat 16-20 HP is produced by,Autos_and_Vehicles,Fiat 16-20 HP,0.6111315,Ferrari
IBM,Microsoft,"Microsoft Surface, a product manufactured by",Computers_and_Electronics,Microsoft Surface,0.5542214,IBM
Porsche,Honda,Honda SFX is produced by,Autos_and_Vehicles,Honda SFX,0.6135751,Porsche
Fiat,Chevrolet,"Chevrolet Camaro, produced by",Autos_and_Vehicles,Chevrolet Camaro,0.5330035,Fiat
Florida,Moscow,Sergey Dmitriyevich Merkurov worked in the city of,Business_and_Industrial,Sergey Dmitriyevich Merkurov,0.39463282,Florida
Italian,Russian,The native language of Mikhail Khodorkovsky is,News,Mikhail Khodorkovsky,0.5388975,Russian
Apple,Microsoft,"Visual Basic for Applications, developed by",Computers_and_Electronics,Visual Basic for Applications,0.49280268,Apple
Nintendo,Sega,"Sega SC-3000, developed by",Computers_and_Electronics,Sega SC-3000,0.74543166,Nintendo
IBM,Google,Chrome OS is created by,Computers_and_Electronics,Chrome OS,0.30941227,IBM
Cleveland,Manchester,University of Manchester Centre for Primary Care is headquartered in,Jobs_and_Education,University of Manchester Centre for Primary Care,0.3742786,Cleveland
Douglas,Toyota,Toyota AE85 is developed by,Autos_and_Vehicles,Toyota AE85,0.2552896,Douglas
Atari,Microsoft,"Microsoft Band 2, produced by",Computers_and_Electronics,Microsoft Band 2,0.44429594,Atari
Honda,Nokia,Nokia Lumia 720 is a product of,Internet_and_Telecom,Nokia Lumia 720,0.2645671,Honda
Apple,Nintendo,"Game Boy Advance, a product created by",Games,Game Boy Advance,0.5411779,Apple
Apple,Microsoft,"Windows 3.1, a product created by",Computers_and_Electronics,Windows 3.1,0.49280268,Apple
Toyota,Sega,"Sega Pico, developed by",Computers_and_Electronics,Sega Pico,0.35681558,Toyota
Russia,Japan,Shigeru Miyamoto holds a citizenship from,Arts_and_Entertainment,Shigeru Miyamoto,0.70025545,Russia
Ferrari,Apple,iPhone 11 is produced by,Computers_and_Electronics,iPhone 11,0.30436164,Ferrari
Google,Yahoo,Yahoo! Answers is owned by,Online_Communities,Yahoo! Answers,0.6043443,Google
BMW,Renault,"Renault Clio, created by",Autos_and_Vehicles,Renault Clio,0.59707034,BMW
Toyota,Nissan,Nissan Model 70 is developed by,Autos_and_Vehicles,Nissan Model 70,0.7046942,Toyota
Kazakhstan,Japan,Ichiro Suzuki holds a citizenship from,Sports,Ichiro Suzuki,0.57453156,Kazakhstan
IBM,Microsoft,"Windows Me, a product created by",Computers_and_Electronics,Windows Me,0.5542214,IBM
BMW,Fiat,Fiat Zic is produced by,Autos_and_Vehicles,Fiat Zic,0.546676,BMW
Pakistan,Japan,"Fujiko F. Fujio, a citizen of",Arts_and_Entertainment,Fujiko F. Fujio,0.57519215,Pakistan
Hebrew,Spanish,Comentarios Reales de los Incas was written in,News,Comentarios Reales de los Incas,0.42204916,Hebrew
Chrysler,Porsche,"Porsche 911 GT1, created by",Autos_and_Vehicles,Porsche 911 GT1,0.61436296,Chrysler
Intel,Microsoft,ASP.NET MVC Framework was developed by,Computers_and_Electronics,ASP.NET MVC Framework,0.4967982,Intel
Honda,Nissan,"Nissan Xterra, produced by",Autos_and_Vehicles,Nissan Xterra,0.6627707,Honda
BMW,Nokia,Nokia 2330 Classic is produced by,Computers_and_Electronics,Nokia 2330 Classic,0.28979316,BMW
Google,Samsung,Samsung Galaxy Tab 3 Lite 7.0 is a product of,Computers_and_Electronics,Samsung Galaxy Tab 3 Lite 7.0,0.3398427,Google
Boeing,Apple,iPhone 11 Pro is created by,Computers_and_Electronics,iPhone 11 Pro,0.37306684,Boeing
Argentina,Finland,"Protected Buildings Register in Finland ID, located in",Law_and_Government,Protected Buildings Register in Finland ID,0.49067456,Argentina
BMW,Dodge,Dodge M37 is produced by,Autos_and_Vehicles,Dodge M37,0.4334879,BMW
Chrysler,Porsche,"Porsche 904, developed by",Autos_and_Vehicles,Porsche 904,0.61436296,Chrysler
Yamaha,Toyota,Toyota NZ engine is developed by,Autos_and_Vehicles,Toyota NZ,0.27933764,Yamaha
Jeep,Nissan,Nissan Skyline GT-R is created by,Autos_and_Vehicles,Nissan Skyline GT-R,0.5671088,Jeep
Apple,Nissan,Nissan NPT-90 is created by,Autos_and_Vehicles,Nissan NPT-90,0.43267655,Apple
IBM,Nissan,Nissan Livina is developed by,Autos_and_Vehicles,Nissan Livina,0.32679117,IBM
Honda,Fiat,"Fiat 16-20 HP, developed by",Autos_and_Vehicles,Fiat 16-20 HP,0.5440557,Honda
Finland,India,Anantapuram district is located in the country of,Business_and_Industrial,Anantapuram district,0.5324595,Finland
Square,Microsoft,Windows 3.0 is a product of,Computers_and_Electronics,Windows 3.0,0.28727928,Square
Atari,Nokia,Nokia N1 is developed by,Computers_and_Electronics,Nokia N1,0.26779506,Atari
Rome,Oslo,Jørgen Juve died in the city of,Sensitive_Subjects,Jørgen Juve,0.3983726,Rome
Toyota,Airbus,"Airbus A321, created by",Autos_and_Vehicles,Airbus A321,0.47772485,Toyota
Nokia,Dodge,"Dodge Ram SRT-10, developed by",Autos_and_Vehicles,Dodge Ram SRT-10,0.078931645,Nokia
Boeing,Nokia,"Nokia N80, created by",Computers_and_Electronics,Nokia N80,0.22631454,Boeing
Volvo,Chevrolet,"Chevrolet AK-Series, developed by",Autos_and_Vehicles,Chevrolet AK-Series,0.5469567,Volvo
Ukraine,Japan,"Matsuo Bashō, who holds a citizenship from",Law_and_Government,Matsuo Bashō,0.5539336,Ukraine
NBC,HBO,Game of Thrones premieres on,Arts_and_Entertainment,Game of Thrones,0.6175923,NBC
English,Hindi,The official language of Patna is,Jobs_and_Education,Patna,0.5106255,English
Bulgaria,India,"Sarvepalli Radhakrishnan, a citizen of",People_and_Society,Sarvepalli Radhakrishnan,0.54406047,Bulgaria
Sweden,India,Rajneesh holds a citizenship from,Arts_and_Entertainment,Rajneesh,0.6078178,Sweden
Volvo,Renault,"Renault 18, produced by",Autos_and_Vehicles,Renault 18,0.6042133,Volvo
Sony,BMW,"BMW M1, produced by",Autos_and_Vehicles,BMW M1,0.28706267,Sony
Fiat,Porsche,Porsche 356 is produced by,Autos_and_Vehicles,Porsche 356,0.5959662,Fiat
Poland,Japan,"Neon Genesis Evangelion, that was developed in",Arts_and_Entertainment,Neon Genesis Evangelion,0.5301805,Poland
Fiat,Honda,Honda Bravo is produced by,Autos_and_Vehicles,Honda Bravo,0.5440557,Fiat
Nissan,BMW,BMW N55 is produced by,Autos_and_Vehicles,BMW N55,0.61620617,Nissan
hockey,basketball,LeBron James plays,Sports,LeBron James,0.67706656,hockey
Russia,Japan,"Fujiko F. Fujio, who has a citizenship from",Arts_and_Entertainment,Fujiko F. Fujio,0.70025545,Russia
Adobe,Apple,"Apple Mouse, created by",Computers_and_Electronics,Apple Mouse,0.39773452,Adobe
Toyota,BMW,BMW M30 is a product of,Autos_and_Vehicles,BMW M30,0.61836,Toyota
Renault,Nokia,Nokia Asha 206 is produced by,Computers_and_Electronics,Nokia Asha 206,0.34275633,Renault
Honda,Apple,iPhone 8 Plus is produced by,Computers_and_Electronics,iPhone 8 Plus,0.27968162,Honda
Oslo,Stockholm,National Library of Sweden is headquartered in,People_and_Society,National Library of Sweden,0.6480712,Oslo
Apple,IBM,"IBM Rational ClearQuest, created by",Computers_and_Electronics,IBM Rational ClearQuest,0.41521242,Apple
Honda,BMW,"BMW M1, created by",Autos_and_Vehicles,BMW M1,0.64281034,Honda
BMW,Triumph,"Triumph 1500, produced by",Autos_and_Vehicles,Triumph 1500,0.3239683,BMW
Suzuki,Fiat,Fiat Zic is produced by,Autos_and_Vehicles,Fiat Zic,0.44818237,Suzuki
Kabul,Santiago,"Captaincy General of Chile's capital city,",Law_and_Government,Captaincy General of Chile,0.30262408,Kabul
Renault,Volvo,"Volvo PV544, developed by",Autos_and_Vehicles,Volvo PV544,0.6042133,Renault
French,German,Zeitschrift für Parlamentsfragen was written in,Law_and_Government,Zeitschrift für Parlamentsfragen,0.69003475,French
Sony,Fiat,Fiat 16-20 HP is produced by,Autos_and_Vehicles,Fiat 16-20 HP,0.33050925,Sony
Thailand,Poland,"Piotr Fronczewski, who is a citizen of",Law_and_Government,Piotr Fronczewski,0.4403764,Thailand
Brazil,Afghanistan,Hamid Karzai International Airport is located in the country of,Travel_and_Transportation,Hamid Karzai International Airport,0.3972209,Brazil
Canada,Japan,"Senkichi Taniguchi, who is a citizen of",People_and_Society,Senkichi Taniguchi,0.59572685,Canada
Fiat,BMW,"BMW M6, developed by",Autos_and_Vehicles,BMW M6,0.546676,Fiat
BMW,Nissan,Nissan Cima is developed by,Autos_and_Vehicles,Nissan Cima,0.61620617,BMW
Cadillac,Ferrari,Ferrari 641 is produced by,Autos_and_Vehicles,Ferrari 641,0.56428164,Cadillac
Honda,Apple,"iPhone 12, produced by",Computers_and_Electronics,iPhone 12,0.27968162,Honda
Renault,Porsche,Porsche 804 is a product of,Autos_and_Vehicles,Porsche 804,0.50337195,Renault
Baghdad,Constantinople,Athanasius I of Constantinople died in the city of,News,Athanasius I of Constantinople,0.5310984,Baghdad
Nissan,Chevrolet,Chevrolet Tru 140S is developed by,Autos_and_Vehicles,Chevrolet Tru 140S,0.7375061,Nissan
Danish,Finnish,The official language of Lempäälä is,Jobs_and_Education,Lempäälä,0.5788137,Swedish
Mexico,Japan,"Senkichi Taniguchi, who is a citizen of",People_and_Society,Senkichi Taniguchi,0.59970236,Mexico
IBM,Nokia,Nokia Lumia 520 is created by,Internet_and_Telecom,Nokia Lumia 520,0.41056472,IBM
Brazil,Japan,Matsuo Bashō has a citizenship from,Law_and_Government,Matsuo Bashō,0.67726874,Brazil
Apple,IBM,IBM Personal Computer is produced by,Computers_and_Electronics,IBM Personal Computer,0.41521242,Apple
Microsoft,IBM,"IBM Rational AppScan, a product manufactured by",Computers_and_Electronics,IBM Rational AppScan,0.5542214,Microsoft
Airbus,Microsoft,"Visual Basic for Applications, a product developed by",Computers_and_Electronics,Visual Basic for Applications,0.4444033,Airbus
Berlin,Warsaw,"Polish National Government's capital,",Law_and_Government,Polish National Government,0.55767876,Berlin
Apple,Google,Google Earth is developed by,Online_Communities,Google Earth,0.32428774,Apple
Sony,Ferrari,"Ferrari F399, developed by",Autos_and_Vehicles,Ferrari F399,0.32783735,Sony
Fiat,Nissan,Nissan Model 70 is developed by,Autos_and_Vehicles,Nissan Model 70,0.57500875,Fiat
London,Tokyo,"Tokyo FM, whose headquarters are in",Arts_and_Entertainment,Tokyo FM,0.45946896,London
Sega,IBM,"IBM TXSeries, created by",Computers_and_Electronics,IBM TXSeries,0.36027125,Sega
Honda,BMW,"BMW M5, produced by",Autos_and_Vehicles,BMW M5,0.64281034,Honda
Toyota,Porsche,"Porsche 550, developed by",Autos_and_Vehicles,Porsche 550,0.6434579,Toyota
Renault,Porsche,"Porsche 914, created by",Autos_and_Vehicles,Porsche 914,0.50337195,Renault
French,Swedish,The official language of Sweden is,Jobs_and_Education,Sweden,0.63001823,French
IBM,Microsoft,Windows 9x is created by,Computers_and_Electronics,Windows 9x,0.5542214,Microsoft
Canada,India,Anantapuram district is located in the country of,Business_and_Industrial,Anantapuram district,0.6278428,Canada
Apple,Microsoft,"Windows 98, created by",Computers_and_Electronics,Windows 98,0.49280268,Apple
IBM,Google,Google Play is a product of,Internet_and_Telecom,Google Play,0.30941227,IBM
Boeing,Airbus,Airbus A330neo is produced by,Autos_and_Vehicles,Airbus A330neo,0.72350645,Boeing
Chevrolet,BMW,BMW M52 is developed by,Autos_and_Vehicles,BMW M52,0.6435225,Chevrolet
Renault,BMW,BMW N74 is developed by,Autos_and_Vehicles,BMW N74,0.59707034,Renault
Google,IBM,IBM Office/36 was developed by,Computers_and_Electronics,IBM Office/36,0.30941227,Google
Apple,Fiat,Fiat Zic is produced by,Autos_and_Vehicles,Fiat Zic,0.3282235,Apple
Honda,Nintendo,Nintendo Entertainment System is a product of,Computers_and_Electronics,Nintendo Entertainment System,0.18317902,Honda
Toyota,Apple,"iPhone 11 Pro Max, developed by",Computers_and_Electronics,iPhone 11 Pro Max,0.38926542,Toyota
Apple,IBM,IBM Rational Automation Framework is developed by,Computers_and_Electronics,IBM Rational Automation Framework,0.41521242,Apple
Fiat,Nissan,"Nissan NX, developed by",Autos_and_Vehicles,Nissan NX,0.57500875,Fiat
Mumbai,Rome,Antonio Gramsci died in the city of,News,Antonio Gramsci,0.36533624,Mumbai
Nintendo,Fiat,"Fiat 1900, produced by",Autos_and_Vehicles,Fiat 1900,0.30752987,Nintendo
Intel,Microsoft,Windows 2000 was created by,Computers_and_Electronics,Windows 2000.,0.4967982,Intel
Suzuki,Nokia,Nokia Lumia 720 is produced by,Internet_and_Telecom,Nokia Lumia 720,0.33401135,Nokia
Boeing,Google,"Picasa, a product created by",Computers_and_Electronics,Picasa,0.2901609,Boeing
Honda,Dodge,Dodge Charger R/T is produced by,Autos_and_Vehicles,Dodge Charger R/T,0.49350563,Honda
Sony,BMW,BMW M60 is created by,Autos_and_Vehicles,BMW M60,0.28706267,Sony
BMW,Porsche,"Porsche 904, created by",Autos_and_Vehicles,Porsche 904,0.6581066,BMW
IBM,Microsoft,"Windows 9x, developed by",Computers_and_Electronics,Windows 9x,0.5542214,IBM
Beijing,Paris,"French Fifth Republic's capital,",Law_and_Government,French Fifth Republic,0.5181804,Beijing
Apple,BMW,BMW N62 is a product of,Autos_and_Vehicles,BMW N62,0.41735005,Apple
Louisiana,Boston,University of Massachusetts Boston is located in,Jobs_and_Education,University of Massachusetts Boston,0.54243577,Louisiana
Berlin,Rome,Alexander VIII died in the city of,News,Alexander VIII,0.5258566,Berlin
Apple,Microsoft,Windows Media Center is a product of,Computers_and_Electronics,Windows Media Center,0.49280268,Apple
Cadillac,Renault,"Renault 5, created by",Autos_and_Vehicles,Renault 5,0.49604023,Cadillac
Norway,India,East Godavari district is located in the country of,Jobs_and_Education,East Godavari district,0.50137115,Norway
Argentina,Denmark,Scandinavia is located in the country of,Business_and_Industrial,Scandinavia,0.3863647,Argentina
Japan,India,Vizianagaram district is located in the country of,Business_and_Industrial,Vizianagaram district,0.6716058,Japan
BMW,Honda,"Honda Silver Wing, developed by",Autos_and_Vehicles,Honda Silver Wing,0.64281034,BMW
Ferrari,BMW,BMW M62 is produced by,Autos_and_Vehicles,BMW M62,0.6530139,Ferrari
Renault,Fiat,Fiat 8 HP is developed by,Autos_and_Vehicles,Fiat 8 HP,0.58324873,Renault
Cadillac,BMW,BMW N62 is created by,Autos_and_Vehicles,BMW N62,0.5484816,Cadillac
Milan,Ankara,"Ankara Vilayet's capital city,",Travel_and_Transportation,Ankara Vilayet,0.37523657,Milan
